year,figure,breakdown,disaggregation,indicator,measure
2018,62.2,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,49.8,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,72.4,Perth & Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,76.5,Perth & Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.9,Perth & Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,75.3,Perth and Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,73.5,Perth and Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67,Perth and Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,76,Perth and Kinross,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70.2,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.9,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,56.5,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,69.5,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,63.2,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,57.2,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,48,Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,64.7,Scotland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.3,Scotland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.5,Scotland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,76.7,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,81.8,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,83.3,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,82.3,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,74,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,76.5,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,79.1,Scottish Borders,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,82,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,75,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,78.5,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,85.4,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,82.6,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,90.8,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,81.9,Shetland Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,69,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,76.9,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,75.4,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,73.3,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,75.7,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,67,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,75.5,South Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,64.5,South Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,65.7,South Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
